P03254 DP01928
F1QR43 DP02883
P03956 DP03257
P0A6H5 DP00100
Q9Q8E9 DP00849
P0C1H4 DP01649
O43715 DP01835
P0DTH5 DP03432
Q9VI75 DP02763
Q15596 DP01880
Q9HAV4 DP03195
O00189 DP03455
P12931 DP01570
P00452 DP02715
Q93009 DP00941
Q9WZ73 DP00996
Q97ZL0 DP00513
P05106 DP01842
O00299 DP03162
Q9Y6Q9 DP00343
O66493 DP00559
P51617 DP02467
P38398 DP00238
O49195 DP02597
Q9CXW3 DP00226
Q9Y3E7 DP01283
Q96PU8-9 DP03418
P10275 DP00492
P0ABD8 DP00970
Q0JRZ9 DP02303
Q61548 DP01073
P0AFG0 DP01496
O70480 DP01498
P42337 DP02792
G1K3N3 DP00933
Q6SJQ7 DP02478
O14519 DP01303
P14738 DP00025
A2VD23 DP00584
O88597 DP01612
Q9UBE0 DP00485
Q53654 DP00098
Q9VPU8 DP00540
S6B291 DP02531
E6PBU9 DP00752
P11409 DP00060
P10587 DP00102
P51825 DP02349
Q9UBK2 DP01489
Q8NEB9 DP03710
P54687 DP02698
P11686 DP03121
Q96EQ8 DP03216
O60356 DP00510
P0DTC9 DP03212
Q8NQJ3 DP01581
Q13042 DP01452
Q5ZUV9 DP03686
P03661 DP00034
Q6VMQ6 DP01277
Q99IB8 DP01031
P21246 DP00887
P27635 DP03456
P76063 DP03032
Q9Y696 DP03164
P0ABQ4 DP00301
F1QCV2 DP03476
Q64373 DP02817
O60486 DP03309
P62944 DP02887
Q92854 DP03295
Q14995 DP02702
Q9UMS4 DP01161
P00740 DP03311
Q06486 DP03052
P09041 DP02749
P0A7S3 DP00145
Q7Z3C6 DP01730
Q9UBR1 DP03159
P56926 DP02496
P53136 DP02195
P46108 DP00748
P05205 DP02865
Q07932 DP00567
P08592 DP01887
Q9UJX2 DP01240
O00571 DP02192
Q13363 DP03151
O08807 DP02001
Q26680 DP01669
D6PZY5 DP01553
P49768 DP01292
Q9UHK0 DP03731
Q9H5I1 DP02654
P14061 DP00023
P06748 DP01474
Q96MS0 DP03308
P32773 DP00104
P18272 DP03401
Q9Y296 DP00562
P67966 DP00922
P0AE98 DP01177
P35729 DP02157
P53330 DP01392
Q09428 DP02881
Q9XTY3 DP01558
O01479 DP02982
P35680 DP03135
P29353 DP00154
P61587 DP02804
Q99LJ8 DP01304
Q9N4U5 DP01313
P53779 DP02328
O43791 DP03293
Q9X8U3 DP00854
Q84852 DP02507
P51608 DP00539
P04052 DP01433
P04147 DP01538
Q56311 DP00350
P56777 DP02576
P52799 DP01588
P13848 DP02261
O50008 DP03140
P08775 DP00181
Q12834 DP01118
B9UCQ5 DP01567
O25010 DP01510
Q80ZV0 DP01594
Q05397 DP03144
P38801 DP00788
P55042 DP02572
Q14493 DP01987
Q9ERE7 DP02314
P06132 DP00308
Q9DCL8 DP00815
Q8IW75 DP03303
O60706-2 DP02381
P40337 DP00287
P34087 DP01187
Q06141 DP03314
A0MHA3 DP00918
P0AG67 DP03329
Q13838 DP02724
Q8R464 DP02679
Q96FQ6 DP02652
O75112-6 DP01781
Q5NJL5 DP01859
Q9IK92 DP00697
I7MK25 DP00914
P45481 DP00348
P08510 DP01495
P32170 DP00429
Q8RY59 DP01180
P50750 DP01309
B9KDD4 DP01199
P02185 DP00303
P36595 DP00980
Q8I295 DP03434
P23632 DP00845
Q1HRL7 DP03398
P0DMC7 DP03458
P20220 DP00847
P30291 DP00611
Q9UJX5 DP01478
P16243 DP03482
F8UU09 DP03578
Q23229 DP03107
Q9UKK9 DP03554
D2CPS8 DP03527
O43464 DP00315
P34704 DP02988
P03305 DP00573
Q8GUI6 DP03284
P22173 DP03551
P04968 DP03440
Q8TDY2 DP03671
P0A9H7 DP03337
P15848 DP02670
P49765 DP02417
Q6Q547 DP00475
Q6URW6 DP01022
O05574 DP03363
P01034 DP03297
Q05140 DP00225
Q9ZVD0 DP02392
P23457 DP02646
P40259 DP01487
P02283 DP01250
P04925 DP00265
Q9C0C7 DP01328
Q14849 DP02835
P0A6R3 DP00422
P0A4T9 DP00997
Q9WUP7-2 DP01190
