Q980M2 DP00856
P0A873 DP02716
Q13188 DP01461
P54132 DP03061
Q01970 DP02477
P0A6H5 DP00100
P14859 DP00231
P22605 DP02633
P34808 DP02999
P70444 DP01661
Q8BPB0 DP02570
P11940 DP03230
P27392 DP01012
Q07817 DP00298
P22219 DP03716
Q9VKJ9 DP03485
Q04637 DP02398
P27577 DP00111
P35916 DP02600
P32337 DP02144
Q98157 DP00685
P77072 DP00575
P32628 DP01629
P0AFG0 DP01496
P08392 DP01305
Q9RJY2 DP01934
P42337 DP02792
Q10Q08 DP01086
Q9UDY8 DP03236
Q96PM5 DP02587
Q53654 DP00098
P00734 DP03299
P03406 DP00048
P60058 DP00117
O95292 DP01248
P0DTC9 DP03212
P24785 DP02836
Q9UKT4 DP01450
P0DMM9 DP00011
O08908 DP02791
P42003 DP02623
P03661 DP00034
P21246 DP00887
Q95ZK7 DP03318
P31749 DP03300
P08253 DP03256
C6KEI3 DP00919
P06756 DP02742
P33128 DP02923
P03496 DP03575
P03709 DP01336
Q96RD7 DP02945
P10114 DP00167
P22868 DP00379
O60486 DP03309
Q7TP21 DP01083
Q02548 DP00969
P01130 DP01396
P84092 DP00455
A6Q0K5 DP00359
P33334 DP02722
Q8IW19 DP01465
P21583 DP00917
Q9UPP1 DP03444
P34712 DP03069
Q32NN2 DP00286
Q9XWG3 DP03217
P40161 DP01485
Q81AN8 DP03027
P03265 DP00003
Q9RQJ2 DP02931
Q86VN1 DP02599
Q25733 DP01096
F1RAX4 DP02583
P09012 DP01857
Q05193 DP02976
P11938 DP00020
P13255 DP00031
Q9UBT3 DP03389
Q8BTI9 DP02790
Q9Y6C2 DP01063
Q1K7R9 DP01084
O31467 DP00827
Q8AVN9 DP01733
Q13153 DP03433
Q2YHF0 DP01931
P14061 DP00023
B7T1D7 DP01093
P27694 DP00061
P41214 DP02704
P0CY08 DP02806
P67966 DP00922
P59595 DP00948
P11387 DP00075
Q91WA6 DP02805
P15382 DP00796
Q10589 DP02885
P51400 DP03065
O43791 DP03293
Q8H1D4 DP03285
Q6P3W2 DP00865
P28324 DP01329
P0A707 DP00197
O88393 DP02636
P36106 DP02476
P53193 DP02809
Q9SKI4 DP01085
Q96PU5 DP02292
Q8IVH8 DP02822
Q9ESJ0 DP02593
A0A2Z5UJ33 DP03573
P07363 DP00407
Q15797 DP01206
Q15113 DP02622
P31321 DP02632
J8TM36 DP00925
Q42521 DP02726
P20823 DP01620
Q2VL32 DP02946
P13861 DP02333
Q14118 DP02765
P89522 DP03547
P07674 DP00656
Q9W058 DP02828
P07237 DP02637
P09651 DP00324
P62152 DP00344
O35274 DP00943
Q9DDG2 DP00885
Q6P1M3 DP02730
Q6ZPF4 DP02638
P53350 DP00428
Q56WD9 DP02979
P14653 DP02414
Q16595 DP00607
P13699 DP03542
P39900 DP00571
P21575 DP02617
Q05158 DP00438
Q96PY5 DP02609
P0ABS1 DP00414
Q9ERE3 DP02635
P40136 DP00395
Q8XAD5 DP02878
Q9SUM3 DP02644
P26039 DP00653
P63159 DP02138
Q96AY2 DP01877
P30291 DP00611
P42226 DP02262
Q53FT3 DP02719
O43464 DP00315
Q7DB66 DP01045
P54725 DP00156
Q9Y9L0 DP00037
P77173 DP00161
Q81G39 DP02664
P0A9H7 DP03337
P10961 DP00135
Q3UND0 DP02892
P22362 DP00644
P09372 DP00103
Q13526 DP02727
Q06696 DP01611
P12497 DP00410
Q14849 DP02835
P10081 DP02562
Q01853 DP00435
Q06710 DP01517
Q9MAA7 DP00723
Q04637-8 DP03499
P21447 DP02756
Q9HAU5 DP00949
Q9Y4P1 DP01326
P0A7K2 DP01650
Q9DQX7 DP03541
Q91MK1 DP03410
P0DOC6 DP02509
Q9C1S9 DP01080
P06400 DP01426
